Problem Name,Rating,Difficulty,Length,Description
NBPhO 2019 P7,2,2,1,Dominoes on Stairs: Calculating the terminal speed of falling dominos.
IPhO 2003 P1,2,4,4,A Swing with a Falling Weight: Analysis of a swing's rotational motion in various situations
NBPhO 2017 P4,3,2,1,Gravitational Waves: Estimating locations of binary black boles by modelling stress and strain
USAPhO 2018 B3,3,1,2,Poynting–Robertson Effect: Developing a simple model for the time for Dust Particles to be cleared of orbit
INPhO 2020 P5,3,2,2,Bullet in a Rod: A relatively standard but good practice for problems on rotational collision
CPhO 2018 P3,2,3,4,Rotating rod collision: Using conservation laws and newton's force equations to analyse the motion of a rod under gravity when a projectile embeds in it
IPhO 1995 T3,3,2,2,Cylindrical Buoy: Modelling pertubations in a buoy floating on sea-water
USAPhO 2019 B3,3,2,2,Pitfall: A good exercise using all areas of Classical mechanics to analyse the motion of a falling constrained rod with masses at its ends 
APhO 2010 T1,1,1,1,TBA
GPhO 2016 T1,2,2,2,Stabilizing unstable states: A good exercise on rotational motion and provides insight into the working of Kapitza's pendulum
USAPhO 2017 B1,3,2,2, Dominoes on Table : Toppling of dominoes; Energy lost in collision; Propagation speed of falling Dominoes.
USAPhO 2017 A1,2,1,1,Two Wedges : Statics problem on two Wedges. Can be solved elegantly using geometry.
EuPhO 2020 T2,4,3,1,TBA
