Problem Name,Rating,Difficulty,Length,Description
USAPhO 2011 A4,3,1,1,Stefan Boltzmann Law: Using a simplified model of electromagnetic radiation and quantum mechanics to derive the famous law.
INPhO 2013 P7,3,3,3,Brunt-Väisälä Frequency: Using a model of a balloon in the atmosphere executing Brunt-Väisälä oscillations
USAAO 2019 P7,3,2,2,Black Hole Physics: A nice stellar physics problem which provides a crude model of black holes using Chandrashekar limit and Hawking's temperature
INPhO 2005 P11,4,3,3,Birth of a Star: Estimating the minimum mass a gaseous hydrogen cloud contracting under gravity should have to become a star taking into account Pauli's electron degeneracy pressure. Has many real life applications.
IPhO 2014 T2,3,3,4,Van Der Waals: Analysis of non-ideal gas using Van Der Waals model and application of different concepts like surface tension using it
IPhO 1997 T1,2,2,2,Mountain Physics: Analyzing the movement of moist air masses moving on through a mountain.
IPhO 1992 T3,3,2,2,Satellite in Sunshine: A brilliant mix of conceptual and calculative analysis on Planck's radiation law and the Stefan-Boltzmann's law
USAPhO 2019 A2,3,2,2,"Green Revolution: Investigating a simple thermodynamic model for the conversion of solar
energy into wind."
APhO 2012 T3,4,3,3,-
Physics Cup 2018 P5,4,5,4,-
APhO 2010 T3,4,3,4,-
IPhO 1989 T1,2,2,3,-
NBPhO 2014 T9,4,3,3,-
