Anti-Inflammatory Neutrons,22,16,22,9,21,90,35,125
RI Team 2,18,15,13,8,18,72,40,112
Latin dE/dt,20,16,8,9,12,65,36,101
Trigonal Symmetry,19,11,16,3,13.5,62.5,26,88.5
Physics Geniuses,17,6,8,8,21,60,27,87
DA^2,19,14,1,9,15,58,28,86
Sραrκιε Αηηihiιατοrs,22,15,0,7,17,61,25,86
Brisk Fourier Transform,23,17,1,3,15.5,59.5,24,83.5
Hideyoshi,21,0,0,7,25,53,27,80
space man,13,11,7,6,10,47,32,79
Harmonic_Sussylators,5,18,1,3,25,52,26,78
Excited Electrons,19,8,1,10,14,52,24,76
Trùm đất cảng,13,17,4,7,6,47,27,74
Hohmann_conserved_orbits,13,16,3,8,6.5,46.5,22,68.5
Duner,25,15,1,11,11,63,2,65
Fourier_demon,12,10,0,10,3.5,35.5,28,63.5
Quantum-plators,3,12,0,9,8,32,29,61
Physics problems,23,12,6,7,9,57,0,57
The_Radiant_Trilogy,8,16,0,8,2,34,22,56
BPM,4,6,1,7,11,29,22,51
The_BOHRing_Three,5,0,0,0,15,20,29,49
Depressed_Brats,17,0,1,8,9.5,35.5,10,45.5
Skydingers,2,14,1,6,7,30,10,40
Fizikter,10,14,0,7,5,36,0,36
thanos,8,2,1,7,2,20,0,20
The Espies,2,0,1,0,2,5,14,19
The Kalbashians,3,4,0,0,8,15,0,15
PathgrinderS-550,0,0,0,0,2,2,0,2
Team Hyderabad,0,0,0,1,0,1,0,1
